Source,Brand,Specialization,Description,Adress,Date,Score,Comment
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",02.08.2023,5,Вкусно очень
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",30.07.2023,4,Заказывали роллы все свежее вкусное только темпура кривая но не критично  
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",28.07.2023,5,цена качество и скорость топ  советую
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",27.07.2023,5,Моя любимая доставка сушей в Иркутске  незнаю почему  но суши здесь для меня вкуснее всего  приезжает быстро
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",12.07.2023,1,В шоке от роллов  такое чувство что просто посыпали сыром и подогрели в микроволновке  никакой эстетики и уважения к клиентам. Как говорится ожидание  реальность  ожидала вкусные  красивые роллы принесли нечто  звезда только разве что за оперативность.
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",11.07.2023,5,очень вкусные роллы! заказывали несколько раз  ни разу не подкачали  
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",02.08.2023,4,Вкусно готовят  заказывали пару раз.
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",03.07.2023,5,Заказывали неоднократно роллы и то ям  отличная кухня  готовят очень вкусно! Живём неподалёку здесь доставку привозят быстро 
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",28.06.2023,1,Филадельфия  3
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",26.06.2023,5,Лучший том ям в городе ! Спасибо     
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",02.08.2023,1,Что за роллы это один сплошной рис и все!!! И то тунец какой то как будто старый или вяленный  кто пишет эти отзывы хорошии не знаю другие роллы фоткать не стал все тоже самое!
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",02.08.2023,4,Не плохо  часто заказываем тут. Лояльные цены  скидка за самовывоз и акция  3 рыбки  суммируются  спасибо     Правда последнее время порции маловаты стали  раньше были больше  за это минус   
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",16.06.2023,5,Решили поэкспериментировать  не готовить на день рожденье  а заказать всё из ресторана. Остались очень довольны.
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",12.06.2023,5,Никакие  суши студио    кушай суши и пиццу  и прочие  не сравнятся с  СУШИ ХОЛЛ  это лучшая доставка  лучшие роллы. Заказываю не первый раз. Обычно говорят  что доставка в течении двух часов  но  приезжают раньше. Ни разу не задерживались! Всегда все свежее  вкусное  операторы вежливые  как и курьеры. Аплодирую стоя               
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",02.06.2023,3,Как вбить день рождения на сайте  Графа не работает
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",29.05.2023,5,Классная доставочка  спасибо все вкусненько ! 
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",26.05.2023,5,Роллы великолепные    Мы ваши постоянники и всегда рекомендуем Вас 
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",24.05.2023,5,Хороший ресторан
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",13.05.2023,2,Роллы не стоят своих денег. Начинки мало   один рис  причём разваливающийся. Есть много доставок  которые делают гораздо лучше за те же деньги. В общем  не советую.
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",09.05.2023,5,Заказывали здесь роллы 4 раза. Всегда делали быстро  самовывоз около 40 минут  доставка около часа. Ни разу не опоздали. Роллы вкусные  цены приемлемые. Рекомендую!
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",09.05.2023,4,Хорошее место и демократичные цены вкусная кухня
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",02.08.2023,1,НЕ РЕКОМЕНДУ!!! ОТВРАТИТЕЛЬНЫЕ РОЛЛЫ!!! Роллы на фото все разные. Заказывали не набором   а по отдельности. Заказ на 2000 рублей.   просто купили рис  еще раз за 2000 рублей  КАРЛ!!! Нужно любить своих клиентов  а не экономить! НЕ РЕКОМЕНДУЮ!!!
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",05.05.2023,5,Вкусно  быстро  недорого
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",05.05.2023,5,Очень рекомендую попробовать блюдо пунтууз   Это просто гастрономическое наслаждение. За 300 рублей наедаешься в удовольствие нежнейшей говядиной со стеклянной лапшой и овощами с омлетом  ммм
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",03.05.2023,5,Здесь роллы достойные. Сколько заказывала всегда нравятся. Доставка приезжает быстро  рекомендую любителям хороших роллов 
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",02.05.2023,5,Хорошая доставка  советую.
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",26.04.2023,5,Хорошая доставка вовремя  и суши очень вкусные  понравились
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",22.04.2023,5,Роллы  самые вкусные Курьер Вячеслав  красавчег
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",19.04.2023,5,всее океее
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",19.04.2023,5,Норм! Всё отлично
DGIS,Sushi Holl ,Ресторан доставки,Дополнительное описание отсутсвует,"​Пискунова, 146, Иркутск",11.04.2023,5,Редко пишу отзывы  но это место того стоит. Быстро  вкусно  ценник справедливый  всегда какие то подарки  акции  все на высоте. Хочется заказывать ещё и ещё  спасибо вам за работу!
